id,epic,title,item_type,status,priority,sort_order,rationale,technical_risk,user_value,dependencies,affected_areas,source_agent,source_context
PHY-008,canonical-f1-handling,Tune the canonical high-rev V10 powertrain and close-ratio gearbox as one package,feature,proposed,78,80,"Powertrain character must support the F1 identity without becoming an engine-simulation project. Tune fast rev response, strong top-end character, useful engine braking, shift cadence and close ratios together. Fold the old separate gearbox and offline powertrain-validation items into this task; deterministic per-gear speed/shift checks are acceptance criteria, not separate backlog features.","Medium-high. Torque curve, inertia, clutch, final drive and shift thresholds interact; preserve the working GEVP ownership model.","Adds the high-revving, closely geared response expected from a late-1990s-style Formula car.",PHY-010;PHY-007,game/scenes/vehicles/jordan_191/jordan_191.tscn;game/addons/gevp/scripts/vehicle.gd;tools/physics_diagnostics/analyze_powertrain.py,product-owner,"Merged PHY-008/PHY-009/PHY-011 into one short-term powertrain package, 2026-08-11."
PHY-015,canonical-f1-handling,Freeze Canonical F1 Handling v1 and capture a lightweight regression baseline,test,proposed,75,90,"Once steering, suspension, aero and powertrain satisfy the Monaco GP2-style acceptance matrix, stop major handling work. Record the final setup plus a small repeatable telemetry set for low-speed rotation, braking, direction change, fast corner, curb and full-gear acceleration. The goal is regression protection, not a telemetry platform.",Low. Avoid building immutable telemetry infrastructure or a generalized analytics system; a small versioned baseline is sufficient.,"Prevents endless physics tuning and establishes the canonical car that track, AI and race systems can safely target.",PHY-006;PHY-007;PHY-012;PHY-008;PHY-014,game/scenes/vehicles/jordan_191/jordan_191.tscn;game/telemetry/;PROJECT_STATE.md;tests/,product-owner,"Rewritten from telemetry-provenance infrastructure into a minimal handling-freeze gate, 2026-08-11."
UI-002,race-loop,"Build RaceSession MVP: countdown, checkpoints, lap timing, finish and retry",feature,proposed,70,100,"After Canonical F1 Handling v1 is frozen, the next value milestone is a complete playable loop. Implement truthful race-session state for countdown, checkpoint order, lap count/time, finish and retry/menu. Defer position ranking, opponent roster and rival minimap markers until an actual opponent system exists.",Medium. Requires one game-state owner and reliable track progression; keep competition/AI out of the MVP.,Turns the handling prototype into a small complete game mode instead of continuing physics/tooling work indefinitely.,PHY-015,game/scenes/ui/debug_hud.tscn;game/scenes/runtime/world_hud_compositor.gd;game/scenes/tracks/;game/addons/formula90s/,product-owner,"Reduced from lap/position/countdown/rivals into the first post-handling race-loop milestone, 2026-08-11."
UI-001,race-presentation,Remodel the gameplay HUD with a dynamic La Chutana minimap,feature,validated,75,160,"The predecessor was a cyan diagnostic panel and its minimap was a hard-coded rectangle with arbitrary markers. La Chutana has a canonical centerline and start/finish data, so the player map can be accurate, simple, and real-time without coupling to visual track meshes.","Medium. The runtime compositor retargets HUD NodePaths after moving the scene outside WorldViewport. Preserve those paths, source aid-state changes from DrivingAidsController, and do not reintroduce HUD rendering inside WorldViewport.","A readable, authentic retro race HUD that makes speed, gear, player orientation, circuit layout, and the start point instantly legible.",,game/scenes/ui/debug_hud.tscn;game/scenes/ui/la_chutana_hud_map.tres;game/addons/formula90s/scripts/arcade_race_hud.gd;game/addons/formula90s/scripts/arcade_speed_gauge.gd;game/addons/formula90s/scripts/track_minimap_controller.gd;game/addons/formula90s/scripts/track_map_data.gd;game/addons/formula90s/scripts/driving_aids.gd;game/scenes/runtime/world_hud_compositor.gd;blender/generated/la_chutana/centerline.json;blender/track_pipeline/configs/la_chutana.json,codex,"User-requested HUD redesign based on supplied reference image, 2026-08-10"
UI-003,race-presentation,HUD regression recovery: default bootstrap route HUD completeness,bugfix,validated,70,175,"Acceptance criterion for the HUD increment requires the default bootstrap route, not only jordan_handling_test.tscn, to support the aid notification and dynamic minimap tracking.",Low. Surgical scene edit adding one controller node already present in the reference handling scene; validated with scene-load and default-route smoke tests.,"The normal game entry path shows the complete arcade HUD contract (minimap, gauge, transient aid message) from the first session.",,game/scenes/tracks/test_field/test_field.tscn;game/tests/visual_test_arcade_hud_capture.gd;game/tests/smoke_test_bootstrap_world_hud_compositor.gd;PROJECT_STATE.md section 49.2;game/docs/COMMON_ERRORS_AND_FIXES.md,deepseek,"HUD regression recovery per instrucciones_deepseek.txt section 48, 2026-08-10. Surgical correction: smoke_test_jordan_skybox_runtime.gd camera-follow assertion needs two process frames for SourceSkyboxRig._process; single await was a one-frame race."
REF-001,architecture-stabilization,"Audit and incrementally refactor repository hygiene, SOLID/SRP, and GEVP-to-C++ boundaries",architecture,superseded,100,1,"The product owner selected architectural stabilization as the next milestone after the active HUD and vegetation work. Feature work and physics tuning will compound debt unless ownership, dead architecture, documentation authority, and the GEVP/GDScript-to-native presentation boundary are audited first.","High. This spans tracked assets, native C++, GDScript, Godot scenes, documentation, and build tooling. It must be staged with baseline behavior evidence, focused commits, scene-safety validation, and no handling retuning.","Creates a smaller, clearer, testable baseline that makes future vehicle, camera, audio, graphics, AI, and multi-agent changes safer.",,.gitignore;PROJECT_STATE.md;IMPLEMENTATION_PLAN.md;docs/architecture/;docs/engineering/;docs/game-design/;docs/ai/;native/include/;native/src/;game/scenes/;game/addons/formula90s/;game/addons/gevp/;tools/;tests/,product-owner,"User selected this as the next milestone after active UI HUD and vegetation increments, 2026-08-10. | Superseded by HAN-001 (canonical-f1-handling, 2026-08-11). Architecture audit folded into the Canonical F1 Handling v1 bootstrap."
PHY-001,vehicle-physics,Pair telemetry CSV with immutable _setup.json snapshots,infrastructure,superseded,90,10,"PROJECT_STATE.md declares setup pairing the REQUIRED gate before Phase C. Existing game/telemetry/*.csv captures have no setup provenance, so they cannot be attributed to a physical setup or compared safely.",Low. TelemetryManager is project-owned (game/addons/formula90s/scripts/telemetry_manager.gd); no vendor code touched. Schema is already proposed in PROJECT_STATE.md section 16.,Enables evidence-based physics decisions; prevents interpreting unprovenanced telemetry as authority.,,game/addons/formula90s/scripts/telemetry_manager.gd;game/telemetry/;PROJECT_STATE.md,deepseek-physics-analysis,"Initial Formula90 GEVP physics assessment | Superseded (Canonical F1 Handling v1, 2026-08-11). Telemetry-pairing infrastructure folded into PHY-015 lightweight regression baseline; no separate infra."
PHY-009,vehicle-physics,Phase E: implement 7-speed 1995 transmission ratios,feature,superseded,70,100,"Current 6-ratio set [2.85, 2.29, 1.89, 1.60, 1.38, 1.20] x 3.60 belongs to the reference placeholder. 7 speeds with a peaky engine require tighter spacing to exploit the narrow power band.",Medium. gear_ratios array size drives auto-shift thresholds in vehicle.gd:828-868; must be validated together with the V10 curve (PHY-008).,Authentic 1995 gearbox feel and shift cadence.,PHY-008,game/scenes/vehicles/jordan_1995/jordan_1995.tscn;game/addons/gevp/scripts/vehicle.gd:818-868;tools/physics_diagnostics/analyze_powertrain.py,deepseek-physics-analysis,"Initial Formula90 GEVP physics assessment | Superseded (Canonical F1 Handling v1, 2026-08-11). 7-speed gearbox merged into PHY-008 powertrain package."
PHY-004,vehicle-physics,Correct 1995 track widths (wheel RayCast X positions),feature,superseded,60,50,Track width drives the Ackermann correction (vehicle.gd:554-556) and roll-weight distribution; current tracks (1479/1437 mm) are narrower than the real 195 (1700/1618 mm).,Medium. Wheel RayCast positions are physical authority (PROJECT_STATE 5.1); visual wheel contract must remain symmetric; collision shapes and ackermann recompute automatically. Requires structural scene validation after edit.,Geometrically faithful 1995 platform for steering/suspension tuning.,,game/scenes/vehicles/jordan_1995/jordan_1995.tscn;game/addons/gevp/scripts/vehicle.gd:554-556,deepseek-physics-analysis,"Initial Formula90 GEVP physics assessment | Superseded (Canonical F1 Handling v1, 2026-08-11). 1995 track-width task merged into PHY-003 physical envelope."
PHY-002,vehicle-physics,Update physics_diagnostics defaults to Jordan Phase B configuration,refactor,superseded,55,30,All offline diagnostic scripts currently produce numbers for a 708 kg 2026 car; results are misleading for the 1995 Jordan and cannot be used as validation authority.,Low-medium. Scripts take overrides on the CLI; defaults must match the canonical Phase B scene exactly to keep offline/runtime agreement.,Restores trust in offline validation used by Phases D/E/F.,,tools/physics_diagnostics/analyze_suspension.py;tools/physics_diagnostics/analyze_powertrain.py;tools/physics_diagnostics/analyze_tires.py;tools/physics_diagnostics/analyze_aero_and_weight.py;tools/physics_diagnostics/tscn_parser.py,deepseek-physics-analysis,"Initial Formula90 GEVP physics assessment | Superseded (Canonical F1 Handling v1, 2026-08-11). Diagnostic defaults assumed by canonical scene; offline checks folded into PHY-015."
PHY-011,vehicle-physics,"Validate Phase E powertrain offline (per-gear speeds, shift points)",test,superseded,50,120,powertrain skill and ai_physics_manual mandate offline verification when engine tuning is involved; avoids runtime brute-force.,Low. Offline-only; requires PHY-002 defaults to be Jordan-accurate.,Fast deterministic validation of engine/gearbox pairing.,PHY-008,tools/physics_diagnostics/analyze_powertrain.py,deepseek-physics-analysis,"Initial Formula90 GEVP physics assessment | Superseded (Canonical F1 Handling v1, 2026-08-11). Offline per-gear speed/shift checks folded into PHY-008 acceptance criteria."
PHY-005,vehicle-physics,Correct 1995 tire radii (25in front / 26in rear maximums),feature,superseded,40,60,"Radius affects wheel speed conversion, tire-size correction and gearing. 1995 F1 max diameters were 25 in front / 26 in rear; current 0.3473 m equals 13.67 in radius (27.3 in diameter), slightly over era maximum.",Low-medium. Changing radius changes top speed per gear and contact geometry; keep both axles consistent with the max_tire_radius correction in vehicle.gd:492-494.,Small but correct era alignment; consistent gearing math in Phase E.,,game/scenes/vehicles/jordan_1995/jordan_1995.tscn;game/addons/gevp/scripts/vehicle.gd:492-494,deepseek-physics-analysis,"Initial Formula90 GEVP physics assessment | Superseded (Canonical F1 Handling v1, 2026-08-11). 1995 tire-radius task merged into PHY-003 physical envelope."
PHY-013,vehicle-physics,Validate Phase F aero balance offline,test,superseded,40,140,aerodynamics skill requires offline precomputation of drag and weight transfer before altering GDScript.,Low. Offline-only.,Deterministic aero configuration instead of runtime guessing.,PHY-012,tools/physics_diagnostics/analyze_aero_and_weight.py,deepseek-physics-analysis,"Initial Formula90 GEVP physics assessment | Superseded (Canonical F1 Handling v1, 2026-08-11). Offline aero validation removed in simplified design (no separate test item)."
AUD-001,vehicle-audio,"Phase 1: build the F1 vehicle sound bank (from original samples) and offline scenario renderer",feature,done,130,-10,"Product-owner directed first gate for vehicle audio: build an ordered bank under game/sounds/banks/v10_vehicle derived from the ORIGINAL samples in assets-lowpoly-python/sounds (F1-1998 internal + GP surfaces/impacts), no synthesis, before coupling audio to GEVP or Godot runtime.","Medium. Source samples mix rates (11.025/22.05/44.1 kHz) and one is 8-bit; resampling must be deterministic and unified to mono PCM16 44.1 kHz, loop-safe and validated before runtime use.","Delivers an audible, reviewable engine/shift/surface/impact foundation from the approved original samples and a reusable declarative sound-bank contract.",,game/sounds/;tools/audio/;reports/audio/;game/tests/,product-owner,"Product owner replan 2026-08-14: use the samples in assets-lowpoly-python/sounds (correct); no synthesis; bank name v10_vehicle."
AUD-002,vehicle-audio,"Phase 2: Rust runtime - VehicleAudioState + VehicleSoundBank + GEVP adapter",feature,done,120,-5,"Implement the runtime vehicle-audio layer in pure Rust under game/audio/engine/ that reuses the approved v10_vehicle bank (no synthesis, no wind, no ambient one-shots). VehicleSoundBank loads game/sounds/banks/v10_vehicle/*.wav + bank_manifest.json and exposes mono PCM16 44.1k buffers by key. VehicleAudioState is a deterministic pure mix core computing 5-band engine weights by normalized_rpm/gear, throttle/slip/surface gains (asphalt = no bed; sand/grass/rumble only), and one-shot triggers. A thin adapter maps GEVP telemetry into the State, and a thin Godot controller drives AudioStreamWAV per role. Parity with render_audio_scenario.py.","Medium. Pure-Rust crate under game/audio/engine/ with no Godot deps in the mix core, exact parity with offline mixer (crossfade LOOP_XFADE=512, 5-band weights), thin Godot adapter, mono PCM16 44.1/48 kHz loader contract.","Gives every F1 car a deterministic, testable runtime audio core that consumes the approved bank, and a reusable declarative state/adaptor contract.",AUD-001,game/audio/engine/;game/sounds/banks/v10_vehicle/;game/addons/formula90s/scripts/audio/;game/tests/;tools/validation/,product-owner,"Product owner 2026-08-14: AUD-002 runtime in game/audio/engine/ (pure Rust), no wind, no ambient one-shots in this iteration; connect GEVP->audio as planned."
AUD-003,vehicle-audio,"Phase 3: integrate v10_vehicle audio into the F1-94 decoupled pipeline",feature,done,110,0,"Wire game/audio/engine (VehicleSoundBank + VehicleAudioState) into the F1-94 decoupled vehicle pipeline validated by run_f1-94.ps1. Attach vehicle_audio_controller.gd to F194 / VehicleRigidBody, read GEVP telemetry (motor_rpm, throttle_amount, current_gear, speed, wheel slip) and map track surface via generated_track_surface_groups (asphalt=none, sand, grass, rumble) plus one-shot triggers (shift, backfire, hits, barrier, cone, fire, scrape). Keep parity with tools/audio/render_audio_scenario scenarios. No wind or ambient.","Medium. Surface detection via CollisionShape groups and GEVP wheel slip aggregation must not pollute the decoupled scene or break the existing HUD/minimap/contact smoke.","The F-94 driven in vehicle_test_session.tscn now has deterministic V10 engine/surface/impact audio that is validated by the same pipeline that proves the visual/physics integration.",AUD-002,game/scenes/vehicles/f1_94/f1_94.tscn;game/addons/formula90s/scripts/audio/vehicle_audio_controller.gd;game/audio/engine/;game/addons/formula90s/scripts/generated_track_surface_groups.gd;game/tests/smoke_test_f1_94_audio.gd;scripts/run_f1-94.ps1,product-owner,"User 2026-08-14: follow the run_f1-94.ps1 pipeline; that is the scope."
AUD-004,vehicle-audio,"Phase 4: fix runtime audio playback in Godot (loop_end, surfaces, pitch tracking)",feature,done,105,5,"Fix in-game audio bugs found while validating F1-94 audio: loop_end computed from compressed QOA data bytes truncated loops to 20% of the stream (high-pitched/choppy engine); surfaces silent because the controller re-detected groups instead of reading GEVP wheel.surface_type; revs did not track the tachometer because bands played at native pitch. Add per-band pitch_scale = rpm/native_rpm with measured ENGINE_BAND_NATIVE_RPM, PITCH clamp [0.5,3.5], and weight-gated telemetry stats.","Low-medium. Runtime-only changes; bank WAVs and offline oracle unchanged.","The F-94 now plays the approved v10_vehicle bank correctly in game: clean loops, audible surfaces, revs that follow the tachometer.",AUD-003,game/addons/formula90s/scripts/audio/vehicle_audio_controller.gd;game/audio/engine/src/state.rs;tools/audio/bank_spec.py;game/tests/smoke_test_f1_94_audio.gd,product-owner,"User 2026-08-14: audio sounds wrong in game (engine/revs); diagnose via telemetry; same GEVP pitch concept; keep crossfade."
AUD-005,vehicle-audio,"Phase 5: Rust audio telemetry - va_replay + optional in-game sampler",feature,done,100,10,"Add observability for the audio mix core: va_replay binary replays a real telemetry CSV through VehicleAudioState and emits per-frame weights/pitches/gains plus a summary (band shares, pitch stats, clamp hits, shift counts, bank integrity); optional audio_telemetry.gd in-game sampler (off by default) writes game/telemetry/audio_telemetry_*.csv + _setup.json paired with the session.","Low. Pure Rust + optional GDScript sampler; no runtime audio changes when disabled.","Deterministic, inspectable audio decisions per frame and session summaries to diagnose rev/sync/loop issues without guessing.",AUD-004,game/audio/engine/src/telemetry.rs;game/audio/engine/src/bin/va_replay.rs;game/addons/formula90s/scripts/audio/audio_telemetry.gd;game/scenes/vehicles/f1_94/f1_94.tscn,product-owner,"User 2026-08-14: implement audio module telemetry in Rust to know exactly what is happening and why; test option A (va_replay); add optional in-game sampler."
AUD-006,vehicle-audio,"Wire remaining v10_vehicle bank samples not yet used in game",feature,proposed,80,20,"The v10_vehicle bank contains samples not triggered by any game event: engine_tc, engine_limiter, engine_backfire, engine_starter, shift_3, impact_hit_1..4, impact_barrier, impact_cone, impact_fire, impact_scrape. Wire them (impacts via wheel.last_collider groups with cooldowns, limiter at max rpm, tc when TCS active, starter on first 0->1 gear, backfire on lift-off, shift_3 as alternate upshift) or remove from BANK_SPEC.","Medium. Impact triggering needs collision-event wiring with cooldowns; must not disturb physics/HUD pipeline.","Completes the audio experience and removes dead bank entries or documents their intended triggers.",AUD-004,game/addons/formula90s/scripts/audio/vehicle_audio_controller.gd;game/sounds/banks/v10_vehicle/;tools/audio/bank_spec.py;game/tests/smoke_test_f1_94_audio.gd,product-owner,"User 2026-08-14: mark AUD done; leave pending in backlog the samples not being used."
AUDIT-OBJ-001,audit-pending,"Audit pending: verify destructive OBJ validator fixes (BUG-007 to BUG-010)",audit,proposed,1,1000,"Static audit found credible defects in wheel front/rear classification, decimation preservation, MTL emission and symmetry normals. They stay parked until minimal fixtures reproduce each fault and establish the current vehicle-import standard as the oracle.","Medium. The affected commands can silently alter asset geometry or material data; no automatic --all workflow should be changed from a static report alone.","Preserves a traceable path to harden the vehicle-import validator without interrupting current work.",,blender/obj_validator/;docs/vehicles/VEHICLE_IMPORT_STANDARD.md,audit,"External formula-90 backlog audited 2026-08-14; explicitly retained by user at minimum priority, pending reproduction."
AUDIT-GEVP-001,audit-pending,"Audit pending: reproduce steering-at-rest and neutral gear-ratio behavior (BUG-004 and BUG-014)",audit,proposed,1,1001,"Static inspection found an unguarded steering division by speed and a negative gear-ratio index while neutral. Do not patch GEVP until an isolated F1-94 runtime probe captures the actual behavior and excludes setup or validation-environment failures.","High if confirmed, but unknown until reproduced. Changes would affect vendor GEVP handling and transmission behavior.","Keeps potentially important vehicle-simulation findings visible without treating static code as a gameplay regression.",,game/addons/gevp/scripts/vehicle.gd;game/scenes/vehicles/f1_94/;game/tests/,audit,"External formula-90 backlog audited 2026-08-14; explicitly retained by user at minimum priority, pending reproduction."
AUDIT-GEVP-002,audit-pending,"Audit pending: contain conditional rear-wheel debug logging (BUG-002)",audit,proposed,1,1002,"Rear-wheel high-compression and bottom-out branches emit runtime prints. The condition is real, but the external report overstated it as unconditional per-frame logging; measure it under a representative F1-94 run before changing diagnostics.","Low. Removing diagnostics without an alternate telemetry signal could hide a suspension issue.","Keeps the logging cleanup visible while preserving diagnostic evidence until it is measured.",,game/addons/gevp/scripts/wheel.gd;game/scenes/vehicles/f1_94/;game/tests/,audit,"External formula-90 backlog audited 2026-08-14; explicitly retained by user at minimum priority, pending measurement."
BG3-001,race-presentation,Freeze La Chutana 3-layer PNG v3 provenance with SHA-256 manifest,infrastructure,done,100,150,"La Chutana background refactor requires frozen canonical layers with deterministic hashes before any runtime integration or visual tuning.",Low. Manifest-only asset freezing; no runtime or pipeline changes.,Establishes traceable provenance for the 3 background layers so future visual adjustments or layer replacements can be compared against an accepted baseline.,,assets-lowpoly-python/background/background_layering_codex/generative_asset_manifest.json;game/assets/backgrounds/la_chutana_snes_day/,codex,"Prompt codex 2026-08-14: freeze provenance, register hashes, roles and visual review."
BG3-002,race-presentation,"Spike: decoupled 3-layer camera-followed render architecture",feature,done,98,155,"The old background was a monolithic panorama embedded in the track scene. A decoupled camera-followed compositor must prove that 3 independent Sprite3D layers can sit behind world geometry while preserving pixel art and parallax hierarchy before committing to the full architecture.",Medium. Must choose one movement owner (camera -> BackgroundController) and prove that world geometry occludes background layers correctly.,Proves the technical foundation for all future background presets without coupling to any specific track or physics system.,BG3-001,game/tests/spike_3_layer_background.gd;game/addons/formula90s/scripts/background_controller.gd;game/assets/backgrounds/spike_la_chutana_v3/,codex,"Prompt codex 2026-08-14: spike render minimum, compare compositor vs tarjetas 3D camera-followed."
BG3-003,race-presentation,Define BackgroundPreset external config and BackgroundValidator,feature,done,96,160,"Background composition must be externally configurable (JSON or Resource per circuit/preset) with strict validation: unique layer IDs, unique depths, existing texture paths, positive scale, finite parallax/offset values. Failures must be explicit and legible, not a silent black background.",Low. Pure data model and validation logic; no runtime rendering changes.,Makes the background system data-driven and prevents silent misconfiguration from producing broken visuals.,BG3-002,game/addons/formula90s/scripts/background_preset.gd;game/addons/formula90s/scripts/background_layer_config.gd;game/addons/formula90s/scripts/background_validator.gd;game/tests/test_background_preset_validator.gd,codex,"Prompt codex 2026-08-14: BackgroundPreset external config, validator with legible errors."
BG3-004,race-presentation,Implement BackgroundController and reusable BackgroundLayerInstance,feature,done,94,165,"The BackgroundController must manage preset loading, layer lifecycle, camera tracking and parallax calculation. Each BackgroundLayerInstance is an independent Sprite3D with Nearest filtering, unshaded, no shadows, no GI, no collision. The system must support N future layers without code changes.",Low-medium. Sprite3D-based rendering with camera-follow; no physics coupling.,Provides the reusable runtime backbone for all background presets: load preset, bind camera, enable/disable.,BG3-003,game/addons/formula90s/scripts/background_controller.gd;game/addons/formula90s/scripts/background_layer_instance.gd;game/tests/test_background_controller.gd,codex,"Prompt codex 2026-08-14: BackgroundController + reusable layer units, API minimum."
BG3-005,race-presentation,Create la_chutana_snes_day preset and wire via TrackDefinition,feature,done,92,170,"Create the first production preset using the 3 accepted v3 layers (sky/far_mountains/near_mountains) with initial parallax factors (0.02/0.08/0.18). Wire it through TrackDefinition.background_preset_path so the circuit requests the preset and BackgroundController handles the rest. Preserve legacy SourceSkyboxRig as fallback.",Medium. Integration touches race_session.gd and track_definition.gd; must not break existing track loading.,La Chutana now has a configurable 3-layer parallax background that loads via track definition without hardcoding paths in the scene.,BG3-004;BG3-001,game/assets/backgrounds/la_chutana_snes_day/background.json;game/data/tracks/la_chutana.tres;game/addons/formula90s/scripts/track_definition.gd;game/scenes/runtime/race_session.gd,codex,"Prompt codex 2026-08-14: preset la_chutana_snes_day, wire via TrackDefinition, preserve legacy fallback."
BG3-006,race-presentation,Smoke tests and parallax captures with F1-94,test,done,90,175,"Validate the complete 3-layer background integration in the F1-94 decoupled session: preset loading, 3 layers with correct invariants (Nearest, unshaded, alpha, depth order, no collision nodes), parallax hierarchy (sky < far < near) at +30/-30 degree turns, and legacy rig hidden.",Low. Test-only; no production rendering or physics changes.,Confirms the background system works end-to-end in the same session that validates F1-94 visuals/HUD/physics.,BG3-005,game/tests/smoke_test_la_chutana_3_layer_background.gd;game/tests/visual_test_la_chutana_3_layer_capture.gd,codex,"Prompt codex 2026-08-14: smoke tests + visual captures with F1-94."
